"(r)","word","position","context","word class","frequency","ln(frequency)","stress","task","speaker","gender","age","birth_year","class","prof_mother","prof_father","county"
1,are,word-final,START,function,459498,13.03788986821128,stressed,dialogue,M01,M,64,1953,working,working,middle,Devon
1,your,word-final,NORTH/FORCE,function,132598,11.79507727366389,unstressed,dialogue,M01,M,64,1953,working,working,middle,Devon
1,are,word-final,START,function,459498,13.03788986821128,stressed,dialogue,M01,M,64,1953,working,working,middle,Devon
1,concert,pre-consonantal,NURSE,lexical,1799,7.494986233950534,stressed,dialogue,M01,M,64,1953,working,working,middle,Devon
1,park,pre-consonantal,START,lexical,11156,9.319732748747379,stressed,dialogue,M01,M,64,1953,working,working,middle,Devon
1,there's,pre-consonantal,SQUARE,function,31836,10.36835300392574,stressed,dialogue,M01,M,64,1953,working,working,middle,Devon
1,there,word-final,SQUARE,function,316902,12.66634785679826,stressed,dialogue,M01,M,64,1953,working,working,middle,Devon
1,better,word-final,COMMA,function,34289,10.44257988201043,unstressed,dialogue,M01,M,64,1953,working,working,middle,Devon
1,better,word-final,COMMA,function,34289,10.44257988201043,unstressed,dialogue,M01,M,64,1953,working,working,middle,Devon
1,there,word-final,SQUARE,function,316902,12.66634785679826,unstressed,passage,M01,M,64,1953,working,working,middle,Devon
1,poor,word-final,CURE,lexical,14392,9.574427775630369,stressed,passage,M01,M,64,1953,working,working,middle,Devon
1,shepherd,pre-consonantal,COMMA,lexical,1101,7.00397413672268,unstressed,passage,M01,M,64,1953,working,working,middle,Devon
1,dark,pre-consonantal,START,lexical,12517,9.434842999328023,stressed,passage,M01,M,64,1953,working,working,middle,Devon
0,afternoon,pre-consonantal,COMMA,lexical,7956,8.981681639973862,unstressed,passage,M01,M,64,1953,working,working,middle,Devon
1,air,word-final,SQUARE,lexical,18109,9.804164331241342,stressed,passage,M01,M,64,1953,working,working,middle,Devon
1,heard,pre-consonantal,NURSE,lexical,18754,9.83916234197957,stressed,passage,M01,M,64,1953,working,working,middle,Devon
1,villagers,pre-consonantal,COMMA,lexical,830,6.721425700790643,unstressed,passage,M01,M,64,1953,working,working,middle,Devon
1,their,word-final,SQUARE,function,251410,12.43484035159461,unstressed,passage,M01,M,64,1953,working,working,middle,Devon
1,concern,pre-consonantal,NURSE,lexical,10120,9.222268942841456,stressed,passage,M01,M,64,1953,working,working,middle,Devon
1,pleasure,word-final,COMMA,lexical,4969,8.510973891602321,unstressed,passage,M01,M,64,1953,working,working,middle,Devon
1,later,word-final,COMMA,lexical,37936,10.54365580830519,unstressed,passage,M01,M,64,1953,working,working,middle,Devon
1,more,word-final,NORTH/FORCE,function,207227,12.24157008975831,stressed,passage,M01,M,64,1953,working,working,middle,Devon
1,however,word-final,COMMA,function,59003,10.98534356905279,unstressed,passage,M01,M,64,1953,working,working,middle,Devon
1,after,word-final,START,function,111902,11.62537876724128,unstressed,passage,M01,M,64,1953,working,working,middle,Devon
